DEBUG: General     , 1707411450286> LoggerManager.init                  > Initializing...
LOG  : General     , 1707411450515> cachedir set to "C:\Users\TaPoK\Zomboid"
LOG  : General     , 1707411450555> 08-02-2024 19:57:30
LOG  : General     , 1707411450556> cachedir is "C:\Users\TaPoK\Zomboid"
LOG  : General     , 1707411450559> LogFileDir is "C:\Users\TaPoK\Zomboid\Logs"
LOG  : General     , 1707411450560> ===== System specs =====
LOG  : General     , 1707411450565> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1707411450567> Processor: Intel64 Family 6 Model 23 Stepping 10, GenuineIntel
LOG  : General     , 1707411450568> Processor cores: 4
LOG  : General     , 1707411450571> Available processors (cores): 4
LOG  : General     , 1707411450576> Memory free: 101.10518 MB
LOG  : General     , 1707411450577> Memory max: 3072.0 MB
LOG  : General     , 1707411450578> Memory  total available to JVM: 112.0 MB
LOG  : General     , 1707411456174> C:\, Total: 446.64062 GB, Free: 246.94157 GB
LOG  : General     , 1707411456175> D:\, Total: 0.097652435 GB, Free: 0.06555557 GB
LOG  : General     , 1707411456177> E:\, Total: 145.28027 GB, Free: 77.74794 GB
LOG  : General     , 1707411456177> G:\, Total: 232.78613 GB, Free: 25.693783 GB
LOG  : General     , 1707411456178> H:\, Total: 786.2295 GB, Free: 345.0776 GB
LOG  : General     , 1707411456491> Mobo = [Product=P5B]
LOG  : General     , 1707411456671> CPU = { [Manufacturer=GenuineIntel,MaxClockSpeed=2830,Name=Intel(R) Core(TM)2 Quad CPU] }
LOG  : General     , 1707411456861> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.12027.9001,Name=AMD Radeon RX 580 2048SP]
LOG  : General     , 1707411457066> VideoMode = [VideoModeDescription=Цвета: 1920 x 1080 x 4294967296]
LOG  : General     , 1707411457241> Sound = { [Manufacturer=Advanced Micro Devices,Name=AMD High Definition Audio Device], [Manufacturer=Microsoft,Name=Устройство с поддержкой High Definition Audio] }
LOG  : General     , 1707411457431> Memory RAM = { [Capacity=2147483648,Manufacturer=0], [Capacity=2147483648,Manufacturer=1], [Capacity=2147483648,Manufacturer=2], [Capacity=2147483648,Manufacturer=3] }
LOG  : General     , 1707411457433> ========================
LOG  : General     , 1707411457434> -- listing properties --
LOG  : General     , 1707411457434> java.specification.version=17
LOG  : General     , 1707411457435> sun.cpu.isalist=amd64
LOG  : General     , 1707411457435> sun.jnu.encoding=Cp1251
LOG  : General     , 1707411457435> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1707411457436> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1707411457436> sun.arch.data.model=64
LOG  : General     , 1707411457436> user.variant=
LOG  : General     , 1707411457438> java.vendor.url=http://www.azul.com/
LOG  : General     , 1707411457438> user.timezone=Europe/Moscow
LOG  : General     , 1707411457439> zomboid.steam=0
LOG  : General     , 1707411457440> java.vm.specification.version=17
LOG  : General     , 1707411457440> os.name=Windows 10
LOG  : General     , 1707411457441> user.country=RU
LOG  : General     , 1707411457441> sun.boot.library.path=C:\GOG Games\Project Zomboid\jre64\bin
